STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
SAPP,SAN ALEJANDRO.  PUEBLA,19.057785,-98.215377,seismic,Stations_UNAM,DEPOSITOS LACUSTRES,0.205972,0.633265,0.905706,0.290506,0.0,0.0,0.0,0.0,0.199761,0.633265,0.905706,0.247277,0.205972,0.518799,0.571743,0.290506,0.061339,0.160914,0.123813,0.078023,,,,,,,,
RFPP,RIO SAN FRANCISCO.  PUEBLA,19.043493,-98.191493,seismic,Stations_UNAM,ESTRUCTURA,0.183952,0.840662,0.277165,0.137433,0.0,0.0,0.0,0.0,0.115438,0.473719,0.225704,0.114576,0.183952,0.840662,0.277165,0.137433,0.080951,0.245812,0.085623,0.034719,,,,,,,,
HMTT,HUAMUXTITLAN,17.798341,-98.559717,seismic,Stations_UNAM,ROCA,0.170474,0.422943,0.189444,0.080557,0.0,0.0,0.0,0.0,0.170474,0.422943,0.189444,0.067823,0.143868,0.24395,0.186648,0.071466,0.091714,0.205049,0.151714,0.080557,,,,,,,,
THEZ,TEHUACAN ESCUELA PRIMARIA EMILIANO ZAPATA,18.477554,-97.383184,seismic,Stations_UNAM,ROCA,0.166501,0.424332,0.398421,0.106503,0.0,0.0,0.0,0.0,0.149231,0.369729,0.398421,0.106503,0.166501,0.424332,0.255662,0.055129,0.044489,0.109698,0.070119,0.042824,,,,,,,,
RABO,RABOSO,18.569078,-98.445409,seismic,Stations_UNAM,ROCA,0.154691,0.400411,0.153762,0.080247,0.0,0.0,0.0,0.0,0.129564,0.244123,0.104388,0.0667,0.154691,0.400411,0.12876,0.080247,0.117866,0.143939,0.153762,0.035612,,,,,,,,
PHPU,PARQUE HABANA,19.044223,-98.168466,seismic,Stations_UNAM,SUELO,0.14171,0.367655,0.315037,0.116386,0.0,0.0,0.0,0.0,0.139499,0.250833,0.289243,0.116386,0.14171,0.367655,0.315037,0.078255,0.077726,0.169375,0.072821,0.036398,,,,,,,,
SXPU,SISMEX PUEBLA,19.039943,-98.215087,seismic,Stations_UNAM,TRAVERTINO,0.139178,0.444058,0.254611,0.17994,0.0,0.0,0.0,0.0,0.117158,0.297587,0.150356,0.116342,0.139178,0.444058,0.254611,0.17994,0.104318,0.223885,0.182484,0.044517,,,,,,,,
PZPU,CERRO LA PAZ,19.055379,-98.227092,seismic,Stations_UNAM,ROCA (CONO VOLCANICO),0.119972,0.195724,0.476404,0.10612,0.0,0.0,0.0,0.0,0.119972,0.195724,0.476404,0.10612,0.092502,0.166307,0.305293,0.100037,0.053378,0.142978,0.054067,0.046482,,,,,,,,
SJLL,SAN JUAN DE LOS LLANOS,16.657822,-98.498463,seismic,Stations_UNAM,ROCA,0.105815,0.058612,0.018292,0.01001,0.0,0.0,0.0,0.0,0.105815,0.058612,0.018292,0.009697,0.099859,0.056527,0.018018,0.01001,0.057272,0.038032,0.012467,0.007219,,,,,,,,
PBP2,PASEO NICOLAS BRAVO PUEBLA. S-2,19.045439,-98.208468,seismic,Stations_UNAM,TERRENO LIBRE,0.098676,0.191232,0.178241,0.146243,0.0,0.0,0.0,0.0,0.093354,0.128496,0.16755,0.118801,0.098676,0.191232,0.178241,0.146243,0.055978,0.138925,0.148118,0.059135,,,,,,,,
