calc_id,description,cal_time,gmpe,imt,nominal_bias,max_gmv,Rupture,GMLT,Recording_Stations,abs_bias
38,"Median gmf - 20170919_M7.1_Puebla (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",521,AbrahamsonEtAl2015SSlab,PGA,-0.068,0.31340995,USGS,GEM,all,0.068
40,"Median gmf - 20170919_M7.1_Puebla (Rupture:USGS, GMPEs:USGS, Recording Stations:all)",695,AbrahamsonEtAl2015SSlab,PGA,-0.068,0.31340995,USGS,USGS,all,0.068
34,"Median gmf - 20170919_M7.1_Puebla (Rupture:SSN, GMPEs:GEM, Recording Stations:all)",531,AbrahamsonEtAl2015SSlab,PGA,-0.127,0.31451917,SSN,GEM,all,0.127
36,"Median gmf - 20170919_M7.1_Puebla (Rupture:SSN, GMPEs:USGS, Recording Stations:all)",727,AbrahamsonEtAl2015SSlab,PGA,-0.127,0.31451917,SSN,USGS,all,0.127
37,"Median gmf - 20170919_M7.1_Puebla (Rupture:USGS, GMPEs:GEM, Recording Stations:seismic)",521,AbrahamsonEtAl2015SSlab,PGA,-0.186,0.24208468,USGS,GEM,seismic,0.186
39,"Median gmf - 20170919_M7.1_Puebla (Rupture:USGS, GMPEs:USGS, Recording Stations:seismic)",676,AbrahamsonEtAl2015SSlab,PGA,-0.186,0.24208468,USGS,USGS,seismic,0.186
30,"Median gmf - 20170919_M7.1_Puebla (Rupture:Melgar_et_al_2018, GMPEs:GEM, Recording Stations:all)",533,AbrahamsonEtAl2015SSlab,PGA,-0.189,0.31430927,Melgar_et_al_2018,GEM,all,0.189
41,"Median gmf - 20170919_M7.1_Puebla (Rupture:Melgar_et_al_2018, GMPEs:USGS, Recording Stations:all)",702,AbrahamsonEtAl2015SSlab,PGA,-0.189,0.31430927,Melgar_et_al_2018,USGS,all,0.189
42,"Median gmf - 20170919_M7.1_Puebla (Rupture:Melgar_et_al_2018, GMPEs:USGS, Recording Stations:seismic)",699,AtkinsonBoore2003SSlab,PGA,0.231,0.48057488,Melgar_et_al_2018,USGS,seismic,0.231
35,"Median gmf - 20170919_M7.1_Puebla (Rupture:SSN, GMPEs:USGS, Recording Stations:seismic)",681,AbrahamsonEtAl2015SSlab,PGA,-0.253,0.25483847,SSN,USGS,seismic,0.253
33,"Median gmf - 20170919_M7.1_Puebla (Rupture:SSN, GMPEs:GEM, Recording Stations:seismic)",525,AbrahamsonEtAl2015SSlab,PGA,-0.253,0.25483847,SSN,GEM,seismic,0.253
38,"Median gmf - 20170919_M7.1_Puebla (Rupture:USGS, GMPEs:GEM, Recording Stations:all)",521,YoungsEtAl1997SSlab,PGA,-0.267,0.29316822,USGS,GEM,all,0.267
42,"Median gmf - 20170919_M7.1_Puebla (Rupture:Melgar_et_al_2018, GMPEs:USGS, Recording Stations:seismic)",699,AbrahamsonEtAl2015SSlab,PGA,-0.316,0.22441863,Melgar_et_al_2018,USGS,seismic,0.316
29,"Median gmf - 20170919_M7.1_Puebla (Rupture:Melgar_et_al_2018, GMPEs:GEM, Recording Stations:seismic)",517,AbrahamsonEtAl2015SSlab,PGA,-0.316,0.22441863,Melgar_et_al_2018,GEM,seismic,0.316
41,"Median gmf - 20170919_M7.1_Puebla (Rupture:Melgar_et_al_2018, GMPEs:USGS, Recording Stations:all)",702,AtkinsonBoore2003SSlab,PGA,0.323,0.5257615,Melgar_et_al_2018,USGS,all,0.323
37,"Median gmf - 20170919_M7.1_Puebla (Rupture:USGS, GMPEs:GEM, Recording Stations:seismic)",521,YoungsEtAl1997SSlab,PGA,-0.379,0.22874616,USGS,GEM,seismic,0.379
34,"Median gmf - 20170919_M7.1_Puebla (Rupture:SSN, GMPEs:GEM, Recording Stations:all)",531,YoungsEtAl1997SSlab,PGA,-0.395,0.2931675,SSN,GEM,all,0.395
40,"Median gmf - 20170919_M7.1_Puebla (Rupture:USGS, GMPEs:USGS, Recording Stations:all)",695,ZhaoEtAl2016SSlab,PGA,-0.438,0.31151104,USGS,USGS,all,0.438
35,"Median gmf - 20170919_M7.1_Puebla (Rupture:SSN, GMPEs:USGS, Recording Stations:seismic)",681,AtkinsonBoore2003SSlab,PGA,0.478,0.5673411,SSN,USGS,seismic,0.478
30,"Median gmf - 20170919_M7.1_Puebla (Rupture:Melgar_et_al_2018, GMPEs:GEM, Recording Stations:all)",533,YoungsEtAl1997SSlab,PGA,-0.485,0.29316998,Melgar_et_al_2018,GEM,all,0.485
