custom_site_id,lon,lat,vs30,vs30measured,z1pt0,z2pt5
t_0,-97.44695,21.33318,600.0,False,125.83404,0.79526
t_1,-97.54375,21.33603,247.0,False,491.91909,2.19517
t_2,-97.64056,21.33882,291.0,False,465.5151,1.81978
t_3,-97.44387,21.42388,223.0,False,502.0622,2.46748
t_4,-97.54074,21.42673,206.0,False,507.65588,2.70178
t_5,-97.63762,21.42952,335.0,False,428.24189,1.54904
t_6,-97.53773,21.51744,600.0,False,125.83404,0.79526
t_7,-97.63467,21.52023,268.0,False,480.64358,1.99953
t_8,-97.53471,21.60815,600.0,False,125.83404,0.79526
t_9,-97.63171,21.61094,600.0,False,125.83404,0.79526
t_10,-97.62876,21.70166,600.0,False,125.83404,0.79526
t_11,-97.32699,20.60338,319.0,False,443.04555,1.63824
t_12,-97.37513,20.60485,382.0,False,377.46027,1.33301
t_13,-97.42327,20.60631,328.0,False,434.8891,1.58692
t_14,-97.47141,20.60775,369.0,False,392.4733,1.38687
t_15,-97.51955,20.60917,275.0,False,476.35366,1.94141
t_16,-97.5677,20.61058,303.0,False,456.43054,1.73757
t_17,-97.61584,20.61197,301.0,False,458.00169,1.75079
t_18,-97.66399,20.61335,445.0,False,298.43653,1.11941
t_19,-97.27726,20.64723,417.0,False,334.41102,1.20581
t_20,-97.32542,20.64871,342.0,False,421.33721,1.51282
t_21,-97.37357,20.65018,450.0,False,291.97695,1.10519
t_22,-97.42173,20.65164,379.0,False,380.98135,1.34509
t_23,-97.46989,20.65308,277.0,False,475.07785,1.92538
t_24,-97.51805,20.6545,349.0,False,414.18391,1.47816
t_25,-97.56621,20.65591,419.0,False,331.86827,1.19923
t_26,-97.61437,20.6573,330.0,False,433.01662,1.57592
t_27,-97.66253,20.65868,509.0,False,218.09365,0.95991
t_28,-97.27567,20.69255,292.0,False,464.78944,1.81266
t_29,-97.32384,20.69404,372.0,False,389.0669,1.37408
t_30,-97.37202,20.69551,412.0,False,340.7386,1.22256
t_31,-97.42019,20.69697,359.0,False,403.55426,1.43115
t_32,-97.46836,20.69841,309.0,False,451.58057,1.69903
t_33,-97.51654,20.69983,419.0,False,331.86827,1.19923
t_34,-97.56472,20.70124,274.0,False,476.98318,1.94952
t_35,-97.61289,20.70264,348.0,False,415.22066,1.48302
t_36,-97.66107,20.70402,411.0,False,341.99864,1.22597
t_37,-97.27409,20.73788,270.0,False,479.4456,1.98259
t_38,-97.32227,20.73937,273.0,False,477.60712,1.95769
t_39,-97.37046,20.74084,329.0,False,433.95555,1.5814
t_40,-97.41865,20.7423,313.0,False,448.23398,1.67421
t_41,-97.46684,20.74374,424.0,False,325.48616,1.18306
t_42,-97.51503,20.74516,465.0,False,272.67065,1.0645
