,Year,Country,Region,Event_Name,Local_Date,Local_Time,Latitude,Longitude,Depth_(km),Mw,Max_Intensity_(MMI),Fatalities,Injured,Displaced_Population,Affected_Population,Buildings_Affected,Buildings_Damaged,Buildings_Collapsed,Economic_Losses,Insured_Losses,Induced_Effects,Event_Name ,Displaced_Population ,Depth (km)
20200623_M7.4_Oaxaca,2020,Mexico ,Oaxaca  ,,23/06/20  ,10:29:03,15.784,-96.12,,7.4,VIII,10-Jun,4-25,,24393,>8000,8123-10285,,75000000 USD,,"Tsunami, Landslides",Oaxaca_2020 ,139,22.6
20170403_M6.5_Moijabana,2017,Botswana,,Moijabana_2017,3/4/17,19:40:18,-22.6784,25.1558,23.5,6.46,VIII,0,0,271,271,,13,,,,Stampede,,,
20170908_M8.2_Chiapas,2017,Mexico,Chiapas,,8/9/2017,23:49:17,14.761,-94.103,45.9,8.2,VII,61-102,250-900,,1200250-2500000 ,,94027-209863,41000-56504,2300000000-4000000000 USD,14000000000-2000000000 MXN,"Tsunami, Landslide",Chiapas_2017,458392,
20171113_M6.5_Puntarenas,2017,Costa Rica,Puntarenas,,12/11/17,08:28:23 PM,9.448,-84.544,22,6.5,VIII,,,,,,,,,,,Puntarenas_2017,,
20170919_M7.1_Puebla,2017,Mexico,Puebla,,19/09/17,13:14:39,18.3297,-98.6712,51.2,7.1,VIII,362-471,6000-7289,,30000-250000,9722-190000 ,54473-184000,226-19261,4000000000-8000000000 USD,725000000-2000000000 USD,Landslides,Puebla_2017,5000-193546 ,
20160416_M7.8_Pedernales,2016,Ecuador,Pedernales,,16/04/16,06:58:34 PM,0.31,-80.12,17,7.8,IX,650-700 ,6274-230000,,383090-1000000000,,9180-26672,6998-36149,1300000000-3300000000  USD,560000000  USD,"Tsunami, Landslides",Pedernales_2016,28678-386985,
20160910_M5.9_Bukoba,2016,"Tanzania, Uganda",,Bukoba_2016,10/9/16,15:27:33,-1.0355,31.6181,40,5.9,VII,21-23,440,590-10000,139161,,1125-6281,118-7500,458000000 USD,,,,,
20150916_M8.3_Illapel,2015,Chile,Illapel,,16/09/15,19:54:33,-31.5729,-71.6744,22.44,8.3,VIII,13-19,14-34,,688-681499,,1791-10685,1069-2872,600000000-900000000 USD,350000000 USD,"Tsunami, Landslides",Illapel_2015,>16646,
20140401_M8.2_Iquique,2014,Chile,Iquique,,01/04/14,20:46:50,-19.572,-70.908,38.9,8.2,VIII,6-7,28-200,,513387,,2500-9780,,100000000 USD,,"Tsunami, Landslide",Iquique_2014,,
20100227_M8.8_Maule,2010,Chile,Maule,,27/02/10 ,03:34:00 AM,-36.1723,-73.142,30,8.8,VIII,486-562,500-12000,,800000-1861222,1500000,126883-500000,81444-81449,15000000000-37279916000 USD,4000000000-9941311000 USD,"Tsunami, Landslides",Maule_2010,800000-2000000,
20080524_M5.9_Quetame,2008,Colombia,Quetame,,24/05/08,2:20:00 PM,4.44,-73.81,10,5.9,VII,5-33,32-4181,,1754-10000,,160-2316,47-1234,10000000 USD,,Landslides,Quetame_2008,1700-9000,
20070815_M7.9_Pisco,2007,Peru,Pisco,,15/08/07,6:40:58 PM,-13.67,-76.76,40,7.9,VIII,337-610 ,1042-2291,,32000-722643,2574-13688,17000-230000,33676-94000,139100000-600000000 USD,200000000 USD ,"Tsunami, Landslides, Liquefaction",Pisco_2007,100000,
20041115_M7.2_Pizarro,2004,Colombia,Pizarro,,15/11/04,04:06:00,4.69,-77.47,15,7.2,VIII,,6-20,,8016,1000,611-1978,154-296,,,Liquefaction,Pizarro_2004,,
20040224_M6.3_AlHoceima,2004,Morocco,Al Hoceima,,24/02/04,2:27:47,35.142,3.997,12.2,6.3,IX,628-631,926,,,,,2539,300000000-400000000 USD,,Landslides,AlHoceima_2004,12539-15230,
20030521_M6.8_Boumerdes,2003,Algeria,Boumerdes,Boumerdes_2003,21/05/03,19:44:21,36.91,3.71,12,6.8,IX-X,2266-2287,10261-11000,200000,210261,,,,5000000000 USD,,Tsunami,,,
20010113_M7.6_SanMiguel,2001,El Salvador,San Miguel ,,13/01/01,11:45:00 AM,12.83,-88.79,39,7.6,VIII,683-1500,3440-5565,,1160316-1692942,222773,84682-277953,38628-108261,753000000-2000000000 USD,290000000 USD,"Landslides, Tsunami",San Miguel_2001,45857-81486,
20010213_M6.6_SanSalvador,2001,El Salvador,San Salvador,,13/02/01,08:22:05 AM,13.64,-88.94,13,6.6,VIII,286-315,2696-3399,,250000-279753,57008,14339-17084,35196-57242,348500000 USD,,Landslides,San Salvador_2001,,
19990125_M6.1_Armenia,1999,Colombia,Armenia,,25/01/99,13:19:00,4.432,-75.703,15,6.1,IX,1000-2000,4000-10000,,200000-1534500,45019-90474,20000-61859,15000-35972,1500000000-2630800000 USD,100000000-150000000 USD,Landslides,Armenia_1999,67539-250000,
19990930_M7.4_Oaxaca,1999,Mexico,Oaxaca,,9/30/1999,11:31:13,16.056,-97.004,,7.4,VIII,31-50,160-215,,115000,86628,2000-45697,9538,164800000 USD ,,Landslides ,Oaxaca_1999 ,,39
19940606_M6.8_Cauca,1994,Colombia,Cacua,,06/06/94,03:47:00 PM,2.89,-75.95,10,6.8,IX,128-1100,158-207,,12461-28569,1664,3160,200,2400000 USD,,"Landslides, Flood, Avalanches",Cacua_1994,13000-24797,
19921012_M5.9_Cairo,1992,Egypt,Cairo,Cairo_1992,12/10/02,13:09:55,29.778,31.144,21.5,5.8,VIII,545-561,6512-12199,25020-50000,57700-92649,,8300-9350,,1200000000-4000000000 USD,,Liquefaction,,,
19850919_M8.1_Michoacan,1985,Mexico,Michoacán ,,19/09/85,7:17:49 AM,18.419,-102.468,,8.1, VII,3192-50000,30000-150000,,80600-2130204,,3000-100000 ,757-30000,3000000000-8000000000 USD,,"Landslides, Tsunami, Liquefaction",Mexico_Michoacan ,,15
19830331_M5.6_Popayan,1983,Colombia,Popayán ,,31/03/83,8:12:00 AM,2.364,-76.696,15,5.6,VIII,200-350 ,1200-7500,,10000-36200 ,,13650-14000,2470-4964,380000000-500000000 USD,40000000 USD,Landslides,Popayán_1983 ,10000-30000,
19600522_M9.5_Valdivia,1960,Chile,Valdivia,,22/05/60,3:11:14 PM,-38.143,-73.407,25,9.5,IX,1000-6000,1743-3000,,2000000-2500000 ,,58622-450000,72,400000000-1000000000 USD,,"Tsunami, Volcano, Landslides, Flood",Valdivia_1960,2000000,
20210907_M7.1_Guerrero,,,,,,,,,,,,,,,,,,,,,,,,
